id,account_id,first_name,last_name,type,created_at,updated_at,_cdc_operation,_cdc_lsn,_cdc_loaded_at
899ca782-e323-6d1a-3c1b-dacc18e19331,815ef6d1-3b8f-aa18-37f8-a88b17fc695a,Test,Recipient,INDIVIDUAL,2026-02-17 17:40:50,2026-02-17 17:40:50,INSERT,2485,2026-09-07 11:53:00
278ed00d-ba02-66ef-be05-5787965befdf,815ef6d1-3b8f-aa18-37f8-a88b17fc695a,Test,Recipient,INDIVIDUAL,2026-02-17 17:40:50,2026-02-17 17:40:50,INSERT,2486,2026-09-07 11:31:00
08601833-479d-0cda-f396-ea37f065c817,1a2a73ed-562b-0f79-c374-59eef50bea63,Test,Recipient,INDIVIDUAL,2026-08-05 03:13:21,2026-08-05 03:13:21,INSERT,2487,2026-09-07 11:37:00
5cd8fe1a-dafe-c8a9-3c71-e0bef3579560,1a2a73ed-562b-0f79-c374-59eef50bea63,Test,Recipient,INDIVIDUAL,2026-08-05 03:13:21,2026-08-05 03:13:21,INSERT,2488,2026-09-07 11:56:00
f7dc67e0-3097-4b2b-46a0-2a9b65ec7acd,4a15544d-c5e7-ce8a-3a57-8a8ea9488d99,Test,Recipient,INDIVIDUAL,2026-04-18 05:30:47,2026-04-18 05:30:47,INSERT,2489,2026-09-07 11:30:00
a446be72-364c-911a-a9ab-364a1777e8cb,4a15544d-c5e7-ce8a-3a57-8a8ea9488d99,Test,Recipient,INDIVIDUAL,2026-04-18 05:30:47,2026-04-18 05:30:47,INSERT,2490,2026-09-07 11:50:00
c9776598-203c-8c25-fd23-5def3e5a87e3,fd5166e6-451b-4cf3-6123-fdf77656af72,Test,Recipient,INDIVIDUAL,2026-04-23 10:54:06,2026-04-23 10:54:06,INSERT,2491,2026-09-07 11:59:00
541c7a86-3ba5-cd2f-dea4-5c19d0243d72,e27a984d-6548-21d0-7fcd-9eb1a7cad415,Test,Recipient,INDIVIDUAL,2026-05-11 10:32:02,2026-05-11 10:32:02,INSERT,2492,2026-09-07 11:31:00
fcce96f6-250a-4578-fbe9-4499dbc080fd,a0a04dc4-2720-9bdf-1c11-f735dc713d96,Test,Recipient,INDIVIDUAL,2026-04-11 06:44:05,2026-04-11 06:44:05,INSERT,2493,2026-09-07 11:52:00
21bddb41-0699-8731-ddcf-8766a93b12cd,6f4cc69a-4b22-d308-1c8e-aee95715bd6f,Test,Recipient,INDIVIDUAL,2026-06-03 22:17:28,2026-06-03 22:17:28,INSERT,2494,2026-09-07 11:38:00
0d6a05b3-43ef-2016-2c9b-662e040a3aae,1ca35cfb-04fc-6d82-7d15-438552fbe43b,Test,Recipient,INDIVIDUAL,2026-04-17 18:57:49,2026-04-17 18:57:49,INSERT,2495,2026-09-07 11:33:00
5cae9610-c72c-1fe3-72c2-2a1679eb4168,f6e07cc0-6c52-c49f-9b49-bd26df57c59a,Test,Recipient,INDIVIDUAL,2026-01-27 23:54:06,2026-01-27 23:54:06,INSERT,2496,2026-09-07 11:30:00
ddf275eb-e8a3-f341-c881-9065ba2c98ce,b535106e-122c-9a56-01d7-425638602ab6,Test,Recipient,INDIVIDUAL,2026-03-24 14:51:49,2026-03-24 14:51:49,INSERT,2497,2026-09-07 11:33:00
66d06371-d8e8-8ebb-7a9e-8eefffa361be,6e595ed3-a8b3-17fa-18d0-752b1825bc54,Test,Recipient,INDIVIDUAL,2026-02-02 00:26:18,2026-02-02 00:26:18,INSERT,2498,2026-09-07 11:49:00
9bb96155-5275-eb94-14ae-af5ce63658c9,8ce21ea3-db20-a56e-dc81-5fe7ceda8bbb,Test,Recipient,INDIVIDUAL,2026-02-12 17:19:15,2026-02-12 17:19:15,INSERT,2499,2026-09-07 11:54:00
87d292a6-98ee-ac2b-fe9f-ecaa6182f347,8ce21ea3-db20-a56e-dc81-5fe7ceda8bbb,Test,Recipient,INDIVIDUAL,2026-02-12 17:19:15,2026-02-12 17:19:15,INSERT,2500,2026-09-07 11:47:00
da509fed-1d4a-3d81-b3a7-d0e0cb08587d,43e458fc-63f2-ae24-fc3d-3348008d4127,Test,Recipient,INDIVIDUAL,2026-02-10 17:16:19,2026-02-10 17:16:19,INSERT,2501,2026-09-07 11:33:00
3a7e8e14-e359-eee1-7399-1a476e191042,43e458fc-63f2-ae24-fc3d-3348008d4127,Test,Recipient,INDIVIDUAL,2026-02-10 17:16:19,2026-02-10 17:16:19,INSERT,2502,2026-09-07 11:52:00
6d4067f4-5003-2b35-1857-8bafbac7e2b9,eb5cf467-80ba-cd64-7a0e-cfea958ca9ba,Test,Recipient,INDIVIDUAL,2026-08-09 08:08:10,2026-08-09 08:08:10,INSERT,2503,2026-09-07 11:48:00
112fa612-7969-9ed2-ec48-bf55afd380c4,eb5cf467-80ba-cd64-7a0e-cfea958ca9ba,Test,Recipient,INDIVIDUAL,2026-08-09 08:08:10,2026-08-09 08:08:10,INSERT,2504,2026-09-07 11:30:00
cfd01cbd-5f65-c8ce-bd21-bc11be9d61ee,50fd9d3f-85d5-1695-90b2-b633956b8c0c,Test,Recipient,INDIVIDUAL,2026-03-18 16:00:51,2026-03-18 16:00:51,INSERT,2505,2026-09-07 11:33:00
5a856750-692a-c139-1f4a-8ca1ab85fd59,50fd9d3f-85d5-1695-90b2-b633956b8c0c,Test,Recipient,INDIVIDUAL,2026-03-18 16:00:51,2026-03-18 16:00:51,INSERT,2506,2026-09-07 11:47:00
4ffca6b1-99b4-79d4-49a2-14aef7e8f8e5,43e42caf-8181-a8cc-3691-47eb89a2688b,Test,Recipient,INDIVIDUAL,2026-04-08 04:42:51,2026-04-08 04:42:51,INSERT,2507,2026-09-07 11:58:00
39681c81-7b70-c3b8-a81f-dec3279c658a,43e42caf-8181-a8cc-3691-47eb89a2688b,Test,Recipient,INDIVIDUAL,2026-04-08 04:42:51,2026-04-08 04:42:51,INSERT,2508,2026-09-07 11:55:00
39e58ff0-92f8-37d4-4750-3f1dc33a1f6c,2260e70f-e0cc-edc5-f05d-b76e1a84a51a,Test,Recipient,INDIVIDUAL,2026-05-29 00:14:31,2026-05-29 00:14:31,INSERT,2509,2026-09-07 11:55:00
d4578ad9-a867-a096-edd8-77c89be71737,2260e70f-e0cc-edc5-f05d-b76e1a84a51a,Test,Recipient,INDIVIDUAL,2026-05-29 00:14:31,2026-05-29 00:14:31,INSERT,2510,2026-09-07 11:40:00
01902620-59dc-abd0-56fe-bfb9ebe9e207,c56811cd-5563-f616-00e8-5ece0b49452d,Test,Recipient,INDIVIDUAL,2026-03-06 20:52:46,2026-03-06 20:52:46,INSERT,2511,2026-09-07 11:52:00
a2178f84-bdb0-25ff-2451-e5a411d059b2,c56811cd-5563-f616-00e8-5ece0b49452d,Test,Recipient,INDIVIDUAL,2026-03-06 20:52:46,2026-03-06 20:52:46,INSERT,2512,2026-09-07 11:40:00
