id,recipient_id,type,country,currency,phone_number,operator,account_number,bank_code,bank_name,created_at,updated_at,_cdc_operation,_cdc_lsn,_cdc_loaded_at
5efa9c5b-7421-ff46-637e-4b0122bae10e,899ca782-e323-6d1a-3c1b-dacc18e19331,MOBILE_MONEY,KE,KES,+2547000000,MPESA,,,,2026-02-17 17:40:50,2026-02-17 17:40:50,INSERT,2576,2026-09-07 11:30:00
19597b5a-a7a8-f636-6a35-df59e2aa7a5d,278ed00d-ba02-66ef-be05-5787965befdf,MOBILE_MONEY,UG,UGX,+2547000000,MTN,,,,2026-02-17 17:40:50,2026-02-17 17:40:50,INSERT,2577,2026-09-07 11:37:00
71818dcf-379e-fc6e-5edb-0d3cb0b63bcf,08601833-479d-0cda-f396-ea37f065c817,MOBILE_MONEY,UG,UGX,+2547000000,MTN,,,,2026-08-05 03:13:21,2026-08-05 03:13:21,INSERT,2578,2026-09-07 11:47:00
5e09a9ee-af88-bdec-fb1e-143b196f4dfa,5cd8fe1a-dafe-c8a9-3c71-e0bef3579560,MOBILE_MONEY,UG,UGX,+2547000000,MTN,,,,2026-08-05 03:13:21,2026-08-05 03:13:21,INSERT,2579,2026-09-07 11:50:00
d2fe2fde-d918-b3e5-f2f2-5eef1f45dbfd,f7dc67e0-3097-4b2b-46a0-2a9b65ec7acd,MOBILE_MONEY,KE,KES,+2547000000,MPESA,,,,2026-04-18 05:30:47,2026-04-18 05:30:47,INSERT,2580,2026-09-07 11:42:00
0577aea9-f899-9246-98de-8ebba3b5cece,a446be72-364c-911a-a9ab-364a1777e8cb,MOBILE_MONEY,UG,UGX,+2547000000,MTN,,,,2026-04-18 05:30:47,2026-04-18 05:30:47,INSERT,2581,2026-09-07 11:50:00
d46ef104-1190-6f50-3488-5a4690882eaf,c9776598-203c-8c25-fd23-5def3e5a87e3,BANK_ACCOUNT,NG,NGN,,,0011223344,058,GTBank,2026-04-23 10:54:06,2026-04-23 10:54:06,INSERT,2582,2026-09-07 11:50:00
e68933a9-c9e4-8e8c-25c6-1c45c63d04ee,541c7a86-3ba5-cd2f-dea4-5c19d0243d72,MOBILE_MONEY,TZ,TZS,+2547000000,AIRTEL,,,,2026-05-11 10:32:02,2026-05-11 10:32:02,INSERT,2583,2026-09-07 11:32:00
cc6b66e5-402a-df9c-8a4b-8f7c21472a15,fcce96f6-250a-4578-fbe9-4499dbc080fd,BANK_ACCOUNT,NG,NGN,,,0011223344,058,GTBank,2026-04-11 06:44:05,2026-04-11 06:44:05,INSERT,2584,2026-09-07 11:41:00
c9d6a63b-ca3c-6f5f-5bb5-c40c03cde2e3,21bddb41-0699-8731-ddcf-8766a93b12cd,MOBILE_MONEY,KE,KES,+2547000000,MPESA,,,,2026-06-03 22:17:28,2026-06-03 22:17:28,INSERT,2585,2026-09-07 11:51:00
